aws

ssh

winscp

logon.sh

logon.bat

logon.vbs

logon.vbe

logon.wsf

logon.wsc

login.sh

login.bat

login.vbs

login.vbe

login.wsf

login.wsc

signin.sh

signin.bat

signin.vbs

signin.cve

signin.wsf

signin.wsc

signon.sh

signon.bat

signon.vbs

signon.vbe

signon.wsf

signon.wsc

connect.sh

connect.bat

connect.vbs

connect.vbe

connect.wsf

connect.wsc

creds

sensitive

pamadmin

admin

login

journal.txt

gitconfig

config.inc

config.php

trc

s3cfg

muttrc

configuration.user.xpl

recon-ng

_rsa.pub

_dsa.pub

_ed25519.pub

ecdsa.pub

proxy

config

keystore

keyring

key3

key4

gitconfig

dockercfg

Login

passw

secret

credential

thycotic

cyberark

\.htpasswd

LocalSettings.php

ConsoleHost_history

database

secret_token

knife

carrierwave

omniauth

jenkins

\.publish_over_ssh

\.BapSshPublisherPlugin

credentials

SensorConfiguration

unattend

Autounattend

profypdpasswd

filezilla

MEMORY.DMP

hiberfil

\.sys

lsass

running-config

startup-config

shadow

pwd

passwd

Psmapp

psmgw

backup

MasterReplicationUser

RecPrv

ReplicationUser

Server.key

VaultEmergency

VaultUser

Vault

PADR

PARAgent

CACPMScanner

PVConfiguration

logins

NTDS.DIT

SYSTEM

SAM

SECURITY

tugboat

logins

SqlStudio

\.mysql_history

\.psql_history

\.pgpass

\.dbeaver-data-sources

credentials-config

dbvis

robomongo

\.git-credentials

\.bash_history

\.zsh_history

\.sh_history

zhistory

\.irb_history

ConsoleHost_History

_netrc

\.exports

\.functions

\.extra

\.npmrc

\.env

\.bashrc

\.profile

\.zshrc

cshrc

password

pass

accounts

passwords

pass

accounts

secrets

recentservers

sftp-config

mobaxterm

confCons

id_rsa

id_dsa

id_ecdsa

id_ed25519

_rsa

_dsa

_ed25519

_ecdsa

customsettings.ini

Variables.dat

Policy.xml

config.yaml

\.ssh
